type,subject,grade,difficulty,language,question,statement,answers,correct_index,correct_answer,explanation,unit,image_url,tags,time_limit,created_at,updated_at
image-question,general-knowledge,5,1,en,Which animal is shown in the image?,,"[""Cat"", ""Dog"", ""Bird"", ""Fish""]",1,,Recognize the animal in the image.,,https://picsum.photos/seed/img788/400/300,"[""general-knowledge"", ""image"", ""en"", ""grade-5"", ""diff-1""]",8000,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
true-false,math,5,2,de,,36 ist eine gerade Zahl.,,,True,Gerade Zahlen sind durch 2 teilbar.,,,"[""math"", ""true-false"", ""de"", ""grade-5"", ""diff-2""]",11000,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,language,1,2,fr,Choisissez l'article correct : '___ apple',,"[""an"", ""a"", ""the"", ""\u2014""]",0,,'apple' commence par une voyelle → 'an'.,,,"[""language"", ""grammar"", ""fr"", ""grade-1"", ""diff-2""]",19800,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
image-question,geography,2,1,fr,Quelle forme est montrée sur l'image ?,,"[""Cercle"", ""Carr\u00e9"", ""Triangle"", ""Rectangle""]",2,,Identifiez la forme géométrique simple.,,https://picsum.photos/seed/img791/400/300,"[""geography"", ""image"", ""fr"", ""grade-2"", ""diff-1""]",12800,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
number-input,general-knowledge,2,3,de,Wie viele Tage hat ein Schaltjahr?,,,,366,Schaltjahre haben 366 Tage.,,,"[""general-knowledge"", ""number-input"", ""de"", ""grade-2"", ""diff-3""]",22400,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
true-false,math,6,1,de,,24 + 50 ist größer als 24 × 50.,,,False,Vergleiche Summe und Produkt.,,,"[""math"", ""true-false"", ""de"", ""grade-6"", ""diff-1""]",6400,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
true-false,math,1,1,fr,,26 est un nombre impair.,,,False,Les nombres impairs ne sont pas divisibles par 2.,,,"[""math"", ""true-false"", ""fr"", ""grade-1"", ""diff-1""]",14400,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
number-input,geography,6,4,de,Wie viele Kontinente gibt es auf der Erde?,,,,7,Das Standardmodell sind 7.,,,"[""geography"", ""number-input"", ""de"", ""grade-6"", ""diff-4""]",13600,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,general-knowledge,1,1,en,"In a food chain, which is a plant?",,"[""Producer"", ""Consumer"", ""Decomposer"", ""Predator""]",0,,Plants are producers.,,,"[""general-knowledge"", ""en"", ""grade-1"", ""diff-1""]",14400,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,geography,6,3,fr,Sur quel continent se trouve Albania ?,,"[""Asia"", ""Africa"", ""Europe"", ""Antarctica""]",2,,Albania se trouve en Europe.,,,"[""geography"", ""continents"", ""fr"", ""grade-6"", ""diff-3""]",11200,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
number-input,math,1,1,en,What is 445 + 717?,,,,1162,445+717=1162.,,,"[""math"", ""number-input"", ""en"", ""grade-1"", ""diff-1""]",14400,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
number-input,math,3,2,en,What is 23 × 14?,,,,322,23×14=322.,,,"[""math"", ""number-input"", ""en"", ""grade-3"", ""diff-2""]",15400,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
number-input,geography,1,2,en,How many continents are there on Earth?,,,,7,Standard model is 7.,,,"[""geography"", ""number-input"", ""en"", ""grade-1"", ""diff-2""]",19800,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,math,1,3,en,A square has side 30 cm. What is its perimeter?,,"[""128"", ""120"", ""124"", ""116""]",1,,The correct result is 120.,,,"[""math"", ""arithmetic"", ""en"", ""grade-1"", ""diff-3""]",25200,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,math,2,3,fr,Combien font 4 × 10 ?,,"[""44"", ""40"", ""39"", ""43""]",1,,Le résultat correct est 40.,,,"[""math"", ""arithmetic"", ""fr"", ""grade-2"", ""diff-3""]",22400,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
number-input,general-knowledge,5,1,en,How many days are there in a leap year?,,,,366,Leap years have 366 days.,,,"[""general-knowledge"", ""number-input"", ""en"", ""grade-5"", ""diff-1""]",8000,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
number-input,general-knowledge,6,3,fr,Combien de jours y a-t-il dans une année bissextile ?,,,,366,Les années bissextiles ont 366 jours.,,,"[""general-knowledge"", ""number-input"", ""fr"", ""grade-6"", ""diff-3""]",11200,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
number-input,math,1,4,de,Wieviel sind 15% von 100?,,,,15,15% von 100 = 100×15/100 = 15.,,,"[""math"", ""number-input"", ""de"", ""grade-1"", ""diff-4""]",30600,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
true-false,geography,3,3,fr,,Il y a 7 continents sur Terre.,,,True,Le modèle courant compte 7 continents.,,,"[""geography"", ""true-false"", ""fr"", ""grade-3"", ""diff-3""]",19600,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,language,4,1,de,Wähle die richtige Form: 'They ___ happy.',,"[""is"", ""are"", ""am"", ""be""]",1,,Plural verwendet 'are'.,,,"[""language"", ""grammar"", ""de"", ""grade-4"", ""diff-1""]",9600,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
true-false,geography,5,3,de,,Amsterdam ist die Hauptstadt von India.,,,False,Die Hauptstadt von India ist New Delhi.,,,"[""geography"", ""true-false"", ""de"", ""grade-5"", ""diff-3""]",14000,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,general-knowledge,6,4,en,"In a food chain, which is a plant?",,"[""Producer"", ""Consumer"", ""Decomposer"", ""Predator""]",0,,Plants are producers.,,,"[""general-knowledge"", ""en"", ""grade-6"", ""diff-4""]",13600,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
image-question,geography,5,3,en,Which animal is shown in the image?,,"[""Cat"", ""Dog"", ""Bird"", ""Fish""]",3,,Recognize the animal in the image.,,https://picsum.photos/seed/img810/400/300,"[""geography"", ""image"", ""en"", ""grade-5"", ""diff-3""]",14000,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
true-false,language,3,3,en,,"In English, a sentence must start with a capital letter.",,,True,This is a standard grammar rule.,,,"[""language"", ""true-false"", ""en"", ""grade-3"", ""diff-3""]",19600,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
image-question,language,2,2,fr,Quelle forme est montrée sur l'image ?,,"[""Cercle"", ""Carr\u00e9"", ""Triangle"", ""Rectangle""]",2,,Identifiez la forme géométrique simple.,,https://picsum.photos/seed/img812/400/300,"[""language"", ""image"", ""fr"", ""grade-2"", ""diff-2""]",17600,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,general-knowledge,2,2,en,"In a food chain, which is a plant?",,"[""Producer"", ""Consumer"", ""Decomposer"", ""Predator""]",0,,Plants are producers.,,,"[""general-knowledge"", ""en"", ""grade-2"", ""diff-2""]",17600,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,language,2,4,de,Wähle den richtigen Artikel: '___ apple',,"[""an"", ""a"", ""the"", ""\u2014""]",0,,'apple' beginnt mit Vokal → 'an'.,,,"[""language"", ""grammar"", ""de"", ""grade-2"", ""diff-4""]",27200,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
image-question,geography,6,5,de,Welches Tier ist auf dem Bild zu sehen?,,"[""Katze"", ""Hund"", ""Vogel"", ""Fisch""]",1,,Erkenne das Tier auf dem Bild.,,https://picsum.photos/seed/img815/400/300,"[""geography"", ""image"", ""de"", ""grade-6"", ""diff-5""]",16000,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
number-input,math,3,3,en,What is 13 × 22?,,,,286,13×22=286.,,,"[""math"", ""number-input"", ""en"", ""grade-3"", ""diff-3""]",19600,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
number-input,general-knowledge,1,1,de,Wie viele Tage hat ein Schaltjahr?,,,,366,Schaltjahre haben 366 Tage.,,,"[""general-knowledge"", ""number-input"", ""de"", ""grade-1"", ""diff-1""]",14400,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
true-false,math,4,4,en,,15 + 15 equals 2 × 15.,,,True,"By distributive property, it's always true.",,,"[""math"", ""true-false"", ""en"", ""grade-4"", ""diff-4""]",20400,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,geography,4,4,de,Wie heißt die Hauptstadt von Germany?,,"[""Madrid"", ""Athens"", ""Ottawa"", ""Berlin""]",3,,Die Hauptstadt von Germany ist Berlin.,,,"[""geography"", ""capitals"", ""de"", ""grade-4"", ""diff-4""]",20400,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
number-input,geography,2,3,en,Approximately how tall (in meters) is the Eiffel Tower? (nearest whole number),,,,324,Eiffel Tower is ~324 m tall.,m,,"[""geography"", ""number-input"", ""en"", ""grade-2"", ""diff-3""]",22400,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
number-input,math,3,2,en,What is 592 + 701?,,,,1293,592+701=1293.,,,"[""math"", ""number-input"", ""en"", ""grade-3"", ""diff-2""]",15400,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
true-false,geography,3,3,de,,Beijing ist die Hauptstadt von China.,,,True,Richtiges Hauptstadt-Land-Paar.,,,"[""geography"", ""true-false"", ""de"", ""grade-3"", ""diff-3""]",19600,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,math,3,3,de,Wie viel ist 7 × 2?,,"[""14"", ""17"", ""18"", ""15""]",0,,Das richtige Ergebnis ist 14.,,,"[""math"", ""arithmetic"", ""de"", ""grade-3"", ""diff-3""]",19600,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
number-input,language,3,5,en,How many letters are in the word 'mountain'?,,,,8,Count the letters in the word.,,,"[""language"", ""spelling"", ""en"", ""grade-3"", ""diff-5""]",28000,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,language,4,3,en,Choose the correct article: '___ apple',,"[""an"", ""a"", ""the"", ""\u2014""]",0,,'apple' starts with a vowel sound → 'an'.,,,"[""language"", ""grammar"", ""en"", ""grade-4"", ""diff-3""]",16800,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,math,1,2,en,What is 97 ÷ 12? (round to nearest integer),,"[""7"", ""9"", ""10"", ""8""]",3,,The correct result is 8.,,,"[""math"", ""arithmetic"", ""en"", ""grade-1"", ""diff-2""]",19800,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
number-input,geography,3,2,fr,Combien y a-t-il de continents sur Terre ?,,,,7,Le modèle standard en compte 7.,,,"[""geography"", ""number-input"", ""fr"", ""grade-3"", ""diff-2""]",15400,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
number-input,math,3,3,de,Ein Rechteck hat Breite 7 cm und Höhe 21 cm. Wie groß ist die Fläche?,,,,147,Fläche = 7×21=147 cm².,cm^2,,"[""math"", ""number-input"", ""de"", ""grade-3"", ""diff-3""]",19600,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,general-knowledge,4,5,en,Which planet is known as the Red Planet?,,"[""Mars"", ""Jupiter"", ""Venus"", ""Mercury""]",0,,Mars is called the Red Planet due to iron oxide (rust) on its surface.,,,"[""general-knowledge"", ""en"", ""grade-4"", ""diff-5""]",24000,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
number-input,geography,1,5,en,Approximately how tall (in meters) is the Eiffel Tower? (nearest whole number),,,,324,Eiffel Tower is ~324 m tall.,m,,"[""geography"", ""number-input"", ""en"", ""grade-1"", ""diff-5""]",36000,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
number-input,language,5,3,fr,Combien de lettres contient le mot anglais 'computer' ?,,,,8,Comptez les lettres du mot anglais.,,,"[""language"", ""spelling"", ""fr"", ""grade-5"", ""diff-3""]",14000,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,math,3,2,fr,Combien font 42 + 20 ?,,"[""64"", ""62"", ""61"", ""63""]",1,,Le résultat correct est 62.,,,"[""math"", ""arithmetic"", ""fr"", ""grade-3"", ""diff-2""]",15400,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,geography,3,4,de,Wie heißt die Hauptstadt von Germany?,,"[""Cairo"", ""Copenhagen"", ""Seoul"", ""Berlin""]",3,,Die Hauptstadt von Germany ist Berlin.,,,"[""geography"", ""capitals"", ""de"", ""grade-3"", ""diff-4""]",23800,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,language,6,5,fr,Choisissez l'article correct : '___ apple',,"[""an"", ""a"", ""the"", ""\u2014""]",0,,'apple' commence par une voyelle → 'an'.,,,"[""language"", ""grammar"", ""fr"", ""grade-6"", ""diff-5""]",16000,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
number-input,math,3,2,en,A rectangle has width 29cm and height 15cm. What is its area?,,,,435,Area = 29×15=435 cm².,cm^2,,"[""math"", ""number-input"", ""en"", ""grade-3"", ""diff-2""]",15400,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,general-knowledge,4,4,fr,"Dans une chaîne alimentaire, qu'est-ce qui est une plante ?",,"[""Producteur"", ""Consommateur"", ""D\u00e9composeur"", ""Pr\u00e9dateur""]",0,,Les plantes sont des producteurs.,,,"[""general-knowledge"", ""fr"", ""grade-4"", ""diff-4""]",20400,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
number-input,language,4,2,en,How many letters are in the word 'elephant'?,,,,8,Count the letters in the word.,,,"[""language"", ""spelling"", ""en"", ""grade-4"", ""diff-2""]",13200,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,math,3,3,fr,Combien font 95 ÷ 8 ? (arrondir à l'entier le plus proche),,"[""14"", ""12"", ""11"", ""13""]",1,,Le résultat correct est 12.,,,"[""math"", ""arithmetic"", ""fr"", ""grade-3"", ""diff-3""]",19600,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,math,4,1,fr,Combien font 47 + 32 ?,,"[""81"", ""78"", ""79"", ""80""]",2,,Le résultat correct est 79.,,,"[""math"", ""arithmetic"", ""fr"", ""grade-4"", ""diff-1""]",9600,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,math,6,5,en,What is 26 + 47?,,"[""73"", ""75"", ""72"", ""74""]",0,,The correct result is 73.,,,"[""math"", ""arithmetic"", ""en"", ""grade-6"", ""diff-5""]",16000,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
true-false,geography,4,3,en,,There are 7 continents on Earth.,,,True,Common model counts 7 continents.,,,"[""geography"", ""true-false"", ""en"", ""grade-4"", ""diff-3""]",16800,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,general-knowledge,1,4,en,"In a food chain, which is a plant?",,"[""Producer"", ""Consumer"", ""Decomposer"", ""Predator""]",0,,Plants are producers.,,,"[""general-knowledge"", ""en"", ""grade-1"", ""diff-4""]",30600,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
number-input,language,5,5,fr,Combien de lettres contient le mot anglais 'giraffe' ?,,,,7,Comptez les lettres du mot anglais.,,,"[""language"", ""spelling"", ""fr"", ""grade-5"", ""diff-5""]",20000,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,math,3,2,fr,Un carré a un côté de 3 cm. Quel est son périmètre ?,,"[""8"", ""16"", ""20"", ""12""]",3,,Le résultat correct est 12.,,,"[""math"", ""arithmetic"", ""fr"", ""grade-3"", ""diff-2""]",15400,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
number-input,math,3,2,de,Ein Rechteck hat Breite 30 cm und Höhe 27 cm. Wie groß ist die Fläche?,,,,810,Fläche = 30×27=810 cm².,cm^2,,"[""math"", ""number-input"", ""de"", ""grade-3"", ""diff-2""]",15400,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
image-question,geography,6,1,de,Welche Form ist auf dem Bild zu sehen?,,"[""Kreis"", ""Quadrat"", ""Dreieck"", ""Rechteck""]",0,,Erkenne die einfache geometrische Form.,,https://picsum.photos/seed/img846/400/300,"[""geography"", ""image"", ""de"", ""grade-6"", ""diff-1""]",6400,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
number-input,language,4,2,en,How many letters are in the word 'banana'?,,,,6,Count the letters in the word.,,,"[""language"", ""spelling"", ""en"", ""grade-4"", ""diff-2""]",13200,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
number-input,language,2,2,de,Wieviele Buchstaben hat das Wort 'elephant' (engl.)?,,,,8,Zähle die Buchstaben des englischen Wortes.,,,"[""language"", ""spelling"", ""de"", ""grade-2"", ""diff-2""]",17600,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
number-input,geography,2,1,fr,Combien y a-t-il de continents sur Terre ?,,,,7,Le modèle standard en compte 7.,,,"[""geography"", ""number-input"", ""fr"", ""grade-2"", ""diff-1""]",12800,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,general-knowledge,3,2,en,What is normal human body temperature (°C)?,,"[""36.5\u201337.5\u00b0C"", ""20\u201325\u00b0C"", ""15\u201318\u00b0C"", ""40\u201342\u00b0C""]",0,,Normal range is about 36.5–37.5°C.,,,"[""general-knowledge"", ""en"", ""grade-3"", ""diff-2""]",15400,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,math,6,5,fr,Combien font 57 ÷ 8 ? (arrondir à l'entier le plus proche),,"[""9"", ""6"", ""8"", ""7""]",3,,Le résultat correct est 7.,,,"[""math"", ""arithmetic"", ""fr"", ""grade-6"", ""diff-5""]",16000,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
number-input,geography,4,4,en,Approximately how tall (in meters) is the Eiffel Tower? (nearest whole number),,,,324,Eiffel Tower is ~324 m tall.,m,,"[""geography"", ""number-input"", ""en"", ""grade-4"", ""diff-4""]",20400,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,math,4,3,en,What is 10 − 7?,,"[""2"", ""3"", ""5"", ""4""]",1,,The correct result is 3.,,,"[""math"", ""arithmetic"", ""en"", ""grade-4"", ""diff-3""]",16800,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,math,3,5,en,What is 86 − 7?,,"[""80"", ""79"", ""81"", ""78""]",1,,The correct result is 79.,,,"[""math"", ""arithmetic"", ""en"", ""grade-3"", ""diff-5""]",28000,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
number-input,math,4,2,en,A rectangle has width 8cm and height 4cm. What is its area?,,,,32,Area = 8×4=32 cm².,cm^2,,"[""math"", ""number-input"", ""en"", ""grade-4"", ""diff-2""]",13200,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,math,6,4,fr,Combien font 12 − 1 ?,,"[""13"", ""11"", ""10"", ""12""]",1,,Le résultat correct est 11.,,,"[""math"", ""arithmetic"", ""fr"", ""grade-6"", ""diff-4""]",13600,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,language,3,2,en,Choose the correct form: 'They ___ happy.',,"[""is"", ""are"", ""am"", ""be""]",1,,Plural subject uses 'are'.,,,"[""language"", ""grammar"", ""en"", ""grade-3"", ""diff-2""]",15400,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,general-knowledge,4,1,en,What is normal human body temperature (°C)?,,"[""36.5\u201337.5\u00b0C"", ""20\u201325\u00b0C"", ""15\u201318\u00b0C"", ""40\u201342\u00b0C""]",0,,Normal range is about 36.5–37.5°C.,,,"[""general-knowledge"", ""en"", ""grade-4"", ""diff-1""]",9600,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,general-knowledge,5,1,de,Wie hoch ist die normale Körpertemperatur (°C)?,,"[""36,5\u201337,5\u00b0C"", ""20\u201325\u00b0C"", ""15\u201318\u00b0C"", ""40\u201342\u00b0C""]",0,,"Der Normalbereich liegt bei ca. 36,5–37,5°C.",,,"[""general-knowledge"", ""de"", ""grade-5"", ""diff-1""]",8000,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,general-knowledge,2,4,fr,"Dans une chaîne alimentaire, qu'est-ce qui est une plante ?",,"[""Producteur"", ""Consommateur"", ""D\u00e9composeur"", ""Pr\u00e9dateur""]",0,,Les plantes sont des producteurs.,,,"[""general-knowledge"", ""fr"", ""grade-2"", ""diff-4""]",27200,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,general-knowledge,6,2,de,Wie hoch ist die normale Körpertemperatur (°C)?,,"[""36,5\u201337,5\u00b0C"", ""20\u201325\u00b0C"", ""15\u201318\u00b0C"", ""40\u201342\u00b0C""]",0,,"Der Normalbereich liegt bei ca. 36,5–37,5°C.",,,"[""general-knowledge"", ""de"", ""grade-6"", ""diff-2""]",8800,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,math,1,5,fr,Combien font 89 − 8 ?,,"[""80"", ""83"", ""81"", ""82""]",2,,Le résultat correct est 81.,,,"[""math"", ""arithmetic"", ""fr"", ""grade-1"", ""diff-5""]",36000,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,geography,6,2,fr,Quelle est la capitale de Turkey ?,,"[""Prague"", ""Ankara"", ""Lisbon"", ""Ottawa""]",1,,La capitale de Turkey est Ankara.,,,"[""geography"", ""capitals"", ""fr"", ""grade-6"", ""diff-2""]",8800,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,general-knowledge,3,3,de,Wie hoch ist die normale Körpertemperatur (°C)?,,"[""36,5\u201337,5\u00b0C"", ""20\u201325\u00b0C"", ""15\u201318\u00b0C"", ""40\u201342\u00b0C""]",0,,"Der Normalbereich liegt bei ca. 36,5–37,5°C.",,,"[""general-knowledge"", ""de"", ""grade-3"", ""diff-3""]",19600,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
image-question,geography,1,2,fr,Quel animal est montré sur l'image ?,,"[""Chat"", ""Chien"", ""Oiseau"", ""Poisson""]",2,,Reconnaissez l'animal sur l'image.,,https://picsum.photos/seed/img865/400/300,"[""geography"", ""image"", ""fr"", ""grade-1"", ""diff-2""]",19800,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
image-question,language,6,1,en,Which shape is shown in the image?,,"[""Circle"", ""Square"", ""Triangle"", ""Rectangle""]",2,,Identify the basic geometric shape.,,https://picsum.photos/seed/img866/400/300,"[""language"", ""image"", ""en"", ""grade-6"", ""diff-1""]",6400,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,geography,3,1,en,On which continent is USA?,,"[""Asia"", ""North America"", ""Antarctica"", ""Africa""]",1,,USA is in North America.,,,"[""geography"", ""continents"", ""en"", ""grade-3"", ""diff-1""]",11200,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
true-false,general-knowledge,3,2,en,,"At sea level, water boils at 100°C.",,,True,Boiling point of water at sea level is 100°C.,,,"[""general-knowledge"", ""true-false"", ""en"", ""grade-3"", ""diff-2""]",15400,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
number-input,math,6,3,fr,Combien font 20% de 60 ?,,,,12,20% de 60 = 60×20/100 = 12.,,,"[""math"", ""number-input"", ""fr"", ""grade-6"", ""diff-3""]",11200,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
number-input,geography,4,5,fr,Quelle est la hauteur (en mètres) de la tour Eiffel environ ? (entier),,,,324,La tour Eiffel fait ~324 m.,m,,"[""geography"", ""number-input"", ""fr"", ""grade-4"", ""diff-5""]",24000,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,math,1,2,en,What is 24 ÷ 8? (round to nearest integer),,"[""3"", ""5"", ""4"", ""2""]",0,,The correct result is 3.,,,"[""math"", ""arithmetic"", ""en"", ""grade-1"", ""diff-2""]",19800,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
image-question,geography,1,3,de,Welche Form ist auf dem Bild zu sehen?,,"[""Kreis"", ""Quadrat"", ""Dreieck"", ""Rechteck""]",0,,Erkenne die einfache geometrische Form.,,https://picsum.photos/seed/img872/400/300,"[""geography"", ""image"", ""de"", ""grade-1"", ""diff-3""]",25200,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,math,6,4,en,What is 11 × 12?,,"[""131"", ""135"", ""136"", ""132""]",3,,The correct result is 132.,,,"[""math"", ""arithmetic"", ""en"", ""grade-6"", ""diff-4""]",13600,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
number-input,language,1,3,fr,Combien de lettres contient le mot anglais 'elephant' ?,,,,8,Comptez les lettres du mot anglais.,,,"[""language"", ""spelling"", ""fr"", ""grade-1"", ""diff-3""]",25200,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,geography,6,1,fr,Quelle est la capitale de Brazil ?,,"[""Bras\u00edlia"", ""Budapest"", ""Mexico City"", ""Paris""]",0,,La capitale de Brazil est Brasília.,,,"[""geography"", ""capitals"", ""fr"", ""grade-6"", ""diff-1""]",6400,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,language,6,3,fr,Quel est le pluriel de 'mouse' en anglais ?,,"[""mouses"", ""mices"", ""mice"", ""mouse""]",2,,'mouse' → 'mice' est un pluriel irrégulier.,,,"[""language"", ""grammar"", ""fr"", ""grade-6"", ""diff-3""]",11200,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
number-input,language,5,4,en,How many letters are in the word 'computer'?,,,,8,Count the letters in the word.,,,"[""language"", ""spelling"", ""en"", ""grade-5"", ""diff-4""]",17000,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
image-question,geography,2,5,en,Which animal is shown in the image?,,"[""Cat"", ""Dog"", ""Bird"", ""Fish""]",0,,Recognize the animal in the image.,,https://picsum.photos/seed/img878/400/300,"[""geography"", ""image"", ""en"", ""grade-2"", ""diff-5""]",32000,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
multiple-choice,math,3,3,en,What is 25 − 5?,,"[""19"", ""22"", ""21"", ""20""]",3,,The correct result is 20.,,,"[""math"", ""arithmetic"", ""en"", ""grade-3"", ""diff-3""]",19600,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
number-input,language,1,2,en,How many letters are in the word 'giraffe'?,,,,7,Count the letters in the word.,,,"[""language"", ""spelling"", ""en"", ""grade-1"", ""diff-2""]",19800,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
true-false,general-knowledge,4,2,de,,Auf Meereshöhe kocht Wasser bei 100°C.,,,True,Siedepunkt von Wasser auf Meereshöhe ist 100°C.,,,"[""general-knowledge"", ""true-false"", ""de"", ""grade-4"", ""diff-2""]",13200,2025-09-02T11:00:00.000Z,2025-09-02T11:00:00.000Z
